"CUSTOMERNUMBER","CUSTOMERNAME","CONTACTLASTNAME","CONTACTFIRSTNAME","PHONE","ADDRESSLINE1","ADDRESSLINE2","CITY","STATE","POSTALCODE","COUNTRY","SALESREPEMPLOYEENUMBER","CREDITLIMIT"
1124,"Ruth Avila","Garcia","Mary","888-766-4238","4090 230th Gdn","","Yonkers, NY","SD","43154","SJ",2544,3533,1
506,"Alivia Doyle","Thompson","Kassidy","888-745-1899","9590 Florida Rdg","","Evansville, IN","CA","88100","TK",2634,2836,35
606,"Kayley Mejia","Edwards","Kyle","866-933-7208","2431 N Crystal Valley","","Glendale, AZ","OH","56449","TZ",2798,3353,79
1200,"Karissa Wade","Bauer","Tristian","866-237-0440","849 NE 876th Divide","","Newark, DE","WY","72495","BA",2191,4281,93
969,"Gerardo Becker","Jacobson","Cecilia","866-733-0352","7298 Windy Olive Club","8477 N Ruby Vly","Fort Smith, AR","WV","48645","GU",2264,2127,79
1163,"Humberto Robles","Huynh","Aaliyah","888-707-4793","5240 NE Main Strm","","Buffalo, NY","LA","09163","RO",2169,3097,04
504,"Ayana Mcintyre","Ayers","Arianna","866-781-0321","6604 Illinois Fry","566 Oklahoma Walk","Charleston, WV","IA","15984","VG",2610,3990,61
1109,"Ronaldo Henry","Kaiser","Viviana","800-265-1469","5664 N Seventh Avenue","5122 Sycamore Fort","Salem, OR","MI","53189","SL",2782,1619,02
771,"Whitney Flowers","Kemp","Reginald","888-256-5027","5738 Crabapple Gdn","","Dallas, TX","UT","05146","CR",2317,3299,7
938,"Santos Wade","Bean","Myla","888-642-6989","6227 SE Fifth Mdw","5699 NW First Mdws","Juneau, AK","RI","08183","CN",2415,5140,34
517,"Leonel Benson","Rivera","Anderson","800-349-6568","1568 Seventh Turnpike","","Atlanta, GA","MD","20964","TZ",2462,2795,11
1145,"Jerry Gould","Ashley","Maleah","888-605-7255","3278 Fifth Cswy","","Paterson, NJ","PA","30326","MH",2014,
543,"Lila Church","Dalton","Janiyah","877-717-0133","7700 Windy Sycamore Hollow","","Wichita, KS","UT","25576","TZ",2571,1423,08
656,"Madeleine Conrad","Valencia","Kendall","877-367-0759","6431 SW Virginia Harbor","","West Valley City, UT","AZ","16104","GD",2699,5249,09
618,"London Cochran","Savage","Lucas","866-773-8081","8883 NW 211st Vis","2375 Bright Alder Circle","Las Vegas, NV","NH","59035","TH",2364,1001,84
535,"Carlo Blackburn","Copeland","Reese","866-489-0771","2799 Mountain Lk","","Anchorage, AK","WV","46898","MY",2753,3910,59
